N,d,VFL TeamName,R,W,D,L,G,S,a,b,c,d,e,f,g,h,S,A,B,C,D,E,F,G,H,S,q,r,x,T,season
13,-1,VFL Ankara,25,6,6,13,22,:,40,-18,24,13,5,3,5,15,:,15,0,18,12,1,3,8,7,:,25,-18,6,,Season 58800
14,1,VFL Vienna,25,5,8,12,22,:,35,-13,23,12,2,6,4,11,:,14,-3,12,13,3,2,8,11,:,21,-10,11,,Season 58800
15,1,VFL Edinburgh,25,3,13,9,18,:,29,-11,22,12,2,6,4,12,:,14,-2,12,13,1,7,5,6,:,15,-9,10,,Season 58800
16,1,VFL Copenhagen,25,5,7,13,13,:,29,-16,22,12,1,3,8,5,:,13,-8,6,13,4,4,5,8,:,16,-8,16,,Season 58800
1,0,VFL London,26,17,5,4,42,:,22,20,56,13,9,2,2,23,:,12,11,29,13,8,3,2,19,:,10,9,27,,Season 58800
2,0,VFL Madrid,26,17,1,8,50,:,32,18,52,13,10,0,3,30,:,17,13,30,13,7,1,5,20,:,15,5,22,,Season 58800
3,0,VFL Amsterdam,26,15,6,5,38,:,24,14,51,13,8,3,2,21,:,9,12,27,13,7,3,3,17,:,15,2,24,,Season 58800
4,0,VFL Lisbon,26,14,8,4,36,:,18,18,50,14,9,4,1,18,:,7,11,31,12,5,4,3,18,:,11,7,19,,Season 58800
5,-1,VFL Berlin,26,14,3,9,37,:,25,12,45,14,10,1,3,22,:,11,11,31,12,4,2,6,15,:,14,1,14,,Season 58800
6,1,VFL Rome,26,13,5,8,47,:,26,21,44,13,9,3,1,26,:,7,19,30,13,4,2,7,21,:,19,2,14,,Season 58800
7,-1,VFL Brussels,26,10,5,11,25,:,30,-5,35,12,7,2,3,16,:,11,5,23,14,3,3,8,9,:,19,-10,12,,Season 58800
8,-1,VFL Stockholm,26,9,6,11,40,:,41,-1,33,12,5,3,4,22,:,14,8,18,14,4,3,7,18,:,27,-9,15,,Season 58800
9,1,VFL Paris,26,9,5,12,30,:,37,-7,32,13,6,2,5,17,:,21,-4,20,13,3,3,7,13,:,16,-3,12,,Season 58800
10,0,VFL Oslo,26,7,10,9,30,:,28,2,31,13,4,5,4,18,:,17,1,17,13,3,5,5,12,:,11,1,14,,Season 58800
11,0,VFL Athens,26,7,7,12,34,:,47,-13,28,13,4,3,6,18,:,23,-5,15,13,3,4,6,16,:,24,-8,13,,Season 58800
12,0,VFL Bern,26,5,9,12,14,:,28,-14,24,13,2,6,5,4,:,9,-5,12,13,3,3,7,10,:,19,-9,12,,Season 58800
13,0,VFL Ankara,26,6,6,14,22,:,41,-19,24,13,5,3,5,15,:,15,0,18,13,1,3,9,7,:,26,-19,6,,Season 58800
14,0,VFL Vienna,26,5,8,13,22,:,37,-15,23,13,2,6,5,11,:,16,-5,12,13,3,2,8,11,:,21,-10,11,,Season 58800
15,0,VFL Edinburgh,26,3,13,10,18,:,32,-14,22,13,2,6,5,12,:,17,-5,12,13,1,7,5,6,:,15,-9,10,,Season 58800
16,0,VFL Copenhagen,26,5,7,14,13,:,30,-17,22,13,1,3,9,5,:,14,-9,6,13,4,4,5,8,:,16,-8,16,,Season 58800
1,0,VFL London,27,18,5,4,45,:,22,23,59,13,9,2,2,23,:,12,11,29,14,9,3,2,22,:,10,12,30,,Season 58800
2,-1,VFL Lisbon,27,15,8,4,38,:,19,19,53,14,9,4,1,18,:,7,11,31,13,6,4,3,20,:,12,8,22,,Season 58800
3,1,VFL Madrid,27,17,2,8,50,:,32,18,53,14,10,1,3,30,:,17,13,31,13,7,1,5,20,:,15,5,22,,Season 58800
4,1,VFL Amsterdam,27,15,6,6,39,:,26,13,51,13,8,3,2,21,:,9,12,27,14,7,3,4,18,:,17,1,24,,Season 58800
5,-1,VFL Rome,27,14,5,8,49,:,26,23,47,14,10,3,1,28,:,7,21,33,13,4,2,7,21,:,19,2,14,,Season 58800
6,1,VFL Berlin,27,14,3,10,37,:,27,10,45,14,10,1,3,22,:,11,11,31,13,4,2,7,15,:,16,-1,14,,Season 58800
7,0,VFL Brussels,27,10,6,11,25,:,30,-5,36,13,7,3,3,16,:,11,5,24,14,3,3,8,9,:,19,-10,12,,Season 58800
8,-1,VFL Oslo,27,8,10,9,32,:,28,4,34,14,5,5,4,20,:,17,3,20,13,3,5,5,12,:,11,1,14,,Season 58800
9,1,VFL Stockholm,27,9,6,12,40,:,44,-4,33,13,5,3,5,22,:,17,5,18,14,4,3,7,18,:,27,-9,15,,Season 58800
10,1,VFL Paris,27,9,5,13,30,:,38,-8,32,14,6,2,6,17,:,22,-5,20,13,3,3,7,13,:,16,-3,12,,Season 58800
11,0,VFL Athens,27,8,7,12,36,:,48,-12,31,14,5,3,6,20,:,24,-4,18,13,3,4,6,16,:,24,-8,13,,Season 58800
12,-1,VFL Copenhagen,27,6,7,14,14,:,30,-16,25,13,1,3,9,5,:,14,-9,6,14,5,4,5,9,:,16,-7,19,,Season 58800
13,-1,VFL Vienna,27,5,9,13,22,:,37,-15,24,13,2,6,5,11,:,16,-5,12,14,3,3,8,11,:,21,-10,12,,Season 58800
14,1,VFL Bern,27,5,9,13,14,:,30,-16,24,13,2,6,5,4,:,9,-5,12,14,3,3,8,10,:,21,-11,12,,Season 58800
15,1,VFL Ankara,27,6,6,15,23,:,43,-20,24,14,5,3,6,16,:,17,-1,18,13,1,3,9,7,:,26,-19,6,,Season 58800
16,1,VFL Edinburgh,27,3,14,10,18,:,32,-14,23,13,2,6,5,12,:,17,-5,12,14,1,8,5,6,:,15,-9,11,,Season 58800
1,0,VFL London,28,18,5,5,46,:,24,22,59,14,9,2,3,24,:,14,10,29,14,9,3,2,22,:,10,12,30,,Season 58800
2,-1,VFL Madrid,28,18,2,8,52,:,33,19,56,14,10,1,3,30,:,17,13,31,14,8,1,5,22,:,16,6,25,,Season 58800
3,1,VFL Lisbon,28,15,8,5,38,:,22,16,53,15,9,4,2,18,:,10,8,31,13,6,4,3,20,:,12,8,22,,Season 58800
4,0,VFL Amsterdam,28,15,6,7,39,:,27,12,51,14,8,3,3,21,:,10,11,27,14,7,3,4,18,:,17,1,24,,Season 58800
5,0,VFL Rome,28,15,5,8,52,:,26,26,50,14,10,3,1,28,:,7,21,33,14,5,2,7,24,:,19,5,17,,Season 58800
6,0,VFL Berlin,28,15,3,10,39,:,28,11,48,14,10,1,3,22,:,11,11,31,14,5,2,7,17,:,17,0,17,,Season 58800
7,-1,VFL Stockholm,28,10,6,12,42,:,44,-2,36,14,6,3,5,24,:,17,7,21,14,4,3,7,18,:,27,-9,15,,Season 58800
8,1,VFL Brussels,28,10,6,12,25,:,32,-7,36,13,7,3,3,16,:,11,5,24,15,3,3,9,9,:,21,-12,12,,Season 58800
9,1,VFL Oslo,28,8,11,9,33,:,29,4,35,14,5,5,4,20,:,17,3,20,14,3,6,5,13,:,12,1,15,,Season 58800
10,0,VFL Paris,28,9,6,13,31,:,39,-8,33,14,6,2,6,17,:,22,-5,20,14,3,4,7,14,:,17,-3,13,,Season 58800
11,0,VFL Athens,28,8,8,12,38,:,50,-12,32,14,5,3,6,20,:,24,-4,18,14,3,5,6,18,:,26,-8,14,,Season 58800
12,-1,VFL Ankara,28,7,6,15,24,:,43,-19,27,14,5,3,6,16,:,17,-1,18,14,2,3,9,8,:,26,-18,9,,Season 58800
13,1,VFL Copenhagen,28,6,8,14,16,:,32,-16,26,14,1,4,9,7,:,16,-9,7,14,5,4,5,9,:,16,-7,19,,Season 58800
14,1,VFL Vienna,28,5,10,13,23,:,38,-15,25,14,2,7,5,12,:,17,-5,13,14,3,3,8,11,:,21,-10,12,,Season 58800
15,-1,VFL Edinburgh,28,3,15,10,19,:,33,-14,24,14,2,7,5,13,:,18,-5,13,14,1,8,5,6,:,15,-9,11,,Season 58800
16,1,VFL Bern,28,5,9,14,15,:,32,-17,24,14,2,6,6,5,:,11,-6,12,14,3,3,8,10,:,21,-11,12,,Season 58800
1,0,VFL London,29,18,6,5,46,:,24,22,60,14,9,2,3,24,:,14,10,29,15,9,4,2,22,:,10,12,31,,Season 58800
2,0,VFL Madrid,29,19,2,8,54,:,34,20,59,15,11,1,3,32,:,18,14,34,14,8,1,5,22,:,16,6,25,,Season 58800
3,0,VFL Lisbon,29,15,9,5,39,:,23,16,54,15,9,4,2,18,:,10,8,31,14,6,5,3,21,:,13,8,23,,Season 58800
4,-1,VFL Rome,29,16,5,8,55,:,28,27,53,15,11,3,1,31,:,9,22,36,14,5,2,7,24,:,19,5,17,,Season 58800
5,1,VFL Amsterdam,29,15,6,8,41,:,30,11,51,14,8,3,3,21,:,10,11,27,15,7,3,5,20,:,20,0,24,,Season 58800
6,0,VFL Berlin,29,15,4,10,40,:,29,11,49,15,10,2,3,23,:,12,11,32,14,5,2,7,17,:,17,0,17,,Season 58800
7,0,VFL Stockholm,29,11,6,12,45,:,46,-1,39,14,6,3,5,24,:,17,7,21,15,5,3,7,21,:,29,-8,18,,Season 58800
8,0,VFL Brussels,29,10,7,12,25,:,32,-7,37,14,7,4,3,16,:,11,5,25,15,3,3,9,9,:,21,-12,12,,Season 58800
9,0,VFL Oslo,29,8,11,10,35,:,32,3,35,15,5,5,5,22,:,20,2,20,14,3,6,5,13,:,12,1,15,,Season 58800
10,0,VFL Paris,29,9,7,13,33,:,41,-8,34,15,6,3,6,19,:,24,-5,21,14,3,4,7,14,:,17,-3,13,,Season 58800
11,0,VFL Athens,29,8,8,13,38,:,52,-14,32,15,5,3,7,20,:,26,-6,18,14,3,5,6,18,:,26,-8,14,,Season 58800
12,-1,VFL Copenhagen,29,7,8,14,17,:,32,-15,29,14,1,4,9,7,:,16,-9,7,15,6,4,5,10,:,16,-6,22,,Season 58800
13,-1,VFL Vienna,29,6,10,13,25,:,38,-13,28,14,2,7,5,12,:,17,-5,13,15,4,3,8,13,:,21,-8,15,,Season 58800
14,1,VFL Ankara,29,7,6,16,24,:,44,-20,27,15,5,3,7,16,:,18,-2,18,14,2,3,9,8,:,26,-18,9,,Season 58800
15,-1,VFL Bern,29,5,10,14,17,:,34,-17,25,14,2,6,6,5,:,11,-6,12,15,3,4,8,12,:,23,-11,13,,Season 58800
16,1,VFL Edinburgh,29,3,15,11,20,:,35,-15,24,14,2,7,5,13,:,18,-5,13,15,1,8,6,7,:,17,-10,11,,Season 58800
1,-1,VFL Madrid,30,20,2,8,56,:,35,21,62,15,11,1,3,32,:,18,14,34,15,9,1,5,24,:,17,7,28,,Season 58800
2,1,VFL London,30,18,7,5,46,:,24,22,61,15,9,3,3,24,:,14,10,30,15,9,4,2,22,:,10,12,31,,Season 58800
3,0,VFL Lisbon,30,15,10,5,39,:,23,16,55,15,9,4,2,18,:,10,8,31,15,6,6,3,21,:,13,8,24,,Season 58800
4,-1,VFL Amsterdam,30,16,6,8,46,:,31,15,54,15,9,3,3,26,:,11,15,30,15,7,3,5,20,:,20,0,24,,Season 58800
5,1,VFL Rome,30,16,5,9,56,:,30,26,53,15,11,3,1,31,:,9,22,36,15,5,2,8,25,:,21,4,17,,Season 58800
6,0,VFL Berlin,30,15,4,11,41,:,34,7,49,15,10,2,3,23,:,12,11,32,15,5,2,8,18,:,22,-4,17,,Season 58800
7,-1,VFL Brussels,30,11,7,12,28,:,34,-6,40,15,8,4,3,19,:,13,6,28,15,3,3,9,9,:,21,-12,12,,Season 58800
8,1,VFL Stockholm,30,11,6,13,46,:,48,-2,39,15,6,3,6,25,:,19,6,21,15,5,3,7,21,:,29,-8,18,,Season 58800
9,-1,VFL Paris,30,10,7,13,35,:,42,-7,37,15,6,3,6,19,:,24,-5,21,15,4,4,7,16,:,18,-2,16,,Season 58800
10,1,VFL Oslo,30,8,11,11,37,:,35,2,35,15,5,5,5,22,:,20,2,20,15,3,6,6,15,:,15,0,15,,Season 58800
11,0,VFL Athens,30,9,8,13,40,:,53,-13,35,15,5,3,7,20,:,26,-6,18,15,4,5,6,20,:,27,-7,17,,Season 58800
12,0,VFL Copenhagen,30,8,8,14,19,:,33,-14,32,15,2,4,9,9,:,17,-8,10,15,6,4,5,10,:,16,-6,22,,Season 58800
13,0,VFL Vienna,30,7,10,13,28,:,39,-11,31,15,3,7,5,15,:,18,-3,16,15,4,3,8,13,:,21,-8,15,,Season 58800
14,0,VFL Ankara,30,7,6,17,25,:,47,-22,27,15,5,3,7,16,:,18,-2,18,15,2,3,10,9,:,29,-20,9,,Season 58800
15,0,VFL Bern,30,5,10,15,18,:,36,-18,25,15,2,6,7,6,:,13,-7,12,15,3,4,8,12,:,23,-11,13,,Season 58800
16,0,VFL Edinburgh,30,3,15,12,21,:,37,-16,24,15,2,7,6,14,:,20,-6,13,15,1,8,6,7,:,17,-10,11,,Season 58800
1,0,VFL Brussels,1,1,0,0,5,:,1,4,3,1,1,0,0,5,:,1,4,3,0,0,0,0,0,:,0,0,0,,Season 58799
2,0,VFL Amsterdam,1,1,0,0,3,:,0,3,3,1,1,0,0,3,:,0,3,3,0,0,0,0,0,:,0,0,0,,Season 58799
3,0,VFL Madrid,1,1,0,0,3,:,1,2,3,1,1,0,0,3,:,1,2,3,0,0,0,0,0,:,0,0,0,,Season 58799
4,0,VFL Ankara,1,1,0,0,1,:,0,1,3,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,,Season 58799
4,0,VFL Paris,1,1,0,0,1,:,0,1,3,1,1,0,0,1,:,0,1,3,0,0,0,0,0,:,0,0,0,,Season 58799
6,0,VFL Berlin,1,0,1,0,3,:,3,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,3,:,3,0,1,,Season 58799
6,0,VFL Oslo,1,0,1,0,3,:,3,0,1,1,0,1,0,3,:,3,0,1,0,0,0,0,0,:,0,0,0,,Season 58799
8,0,VFL London,1,0,1,0,1,:,1,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,1,:,1,0,1,,Season 58799
8,0,VFL Stockholm,1,0,1,0,1,:,1,0,1,1,0,1,0,1,:,1,0,1,0,0,0,0,0,:,0,0,0,,Season 58799
10,0,VFL Lisbon,1,0,1,0,0,:,0,0,1,1,0,1,0,0,:,0,0,1,0,0,0,0,0,:,0,0,0,,Season 58799
10,0,VFL Vienna,1,0,1,0,0,:,0,0,1,0,0,0,0,0,:,0,0,0,1,0,1,0,0,:,0,0,1,,Season 58799
12,0,VFL Bern,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,1,-1,0,,Season 58799
12,0,VFL Rome,1,0,0,1,0,:,1,-1,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,1,-1,0,,Season 58799
14,0,VFL Copenhagen,1,0,0,1,1,:,3,-2,0,0,0,0,0,0,:,0,0,0,1,0,0,1,1,:,3,-2,0,,Season 58799
15,0,VFL Athens,1,0,0,1,0,:,3,-3,0,0,0,0,0,0,:,0,0,0,1,0,0,1,0,:,3,-3,0,,Season 58799
16,0,VFL Edinburgh,1,0,0,1,1,:,5,-4,0,0,0,0,0,0,:,0,0,0,1,0,0,1,1,:,5,-4,0,,Season 58799
1,-1,VFL Madrid,2,2,0,0,7,:,1,6,6,1,1,0,0,3,:,1,2,3,1,1,0,0,4,:,0,4,3,,Season 58799
2,1,VFL Brussels,2,2,0,0,7,:,2,5,6,1,1,0,0,5,:,1,4,3,1,1,0,0,2,:,1,1,3,,Season 58799
3,-1,VFL Stockholm,2,1,1,0,3,:,2,1,4,1,0,1,0,1,:,1,0,1,1,1,0,0,2,:,1,1,3,,Season 58799
4,-1,VFL London,2,1,1,0,2,:,1,1,4,1,1,0,0,1,:,0,1,3,1,0,1,0,1,:,1,0,1,,Season 58799
5,1,VFL Amsterdam,2,1,0,1,3,:,1,2,3,1,1,0,0,3,:,0,3,3,1,0,0,1,0,:,1,-1,0,,Season 58799
6,1,VFL Ankara,2,1,0,1,1,:,1,0,3,1,1,0,0,1,:,0,1,3,1,0,0,1,0,:,1,-1,0,,Season 58799
7,-1,VFL Athens,2,1,0,1,2,:,3,-1,3,1,1,0,0,2,:,0,2,3,1,0,0,1,0,:,3,-3,0,,Season 58799
7,-1,VFL Copenhagen,2,1,0,1,2,:,3,-1,3,1,1,0,0,1,:,0,1,3,1,0,0,1,1,:,3,-2,0,,Season 58799
9,1,VFL Paris,2,1,0,1,1,:,2,-1,3,1,1,0,0,1,:,0,1,3,1,0,0,1,0,:,2,-2,0,,Season 58799
10,-1,VFL Edinburgh,2,1,0,1,3,:,5,-2,3,1,1,0,0,2,:,0,2,3,1,0,0,1,1,:,5,-4,0,,Season 58799
11,1,VFL Oslo,2,0,2,0,6,:,6,0,2,1,0,1,0,3,:,3,0,1,1,0,1,0,3,:,3,0,1,,Season 58799
12,1,VFL Berlin,2,0,1,1,4,:,5,-1,1,1,0,0,1,1,:,2,-1,0,1,0,1,0,3,:,3,0,1,,Season 58799
13,1,VFL Bern,2,0,1,1,3,:,4,-1,1,1,0,1,0,3,:,3,0,1,1,0,0,1,0,:,1,-1,0,,Season 58799
14,1,VFL Lisbon,2,0,1,1,0,:,2,-2,1,1,0,1,0,0,:,0,0,1,1,0,0,1,0,:,2,-2,0,,Season 58799
15,1,VFL Vienna,2,0,1,1,0,:,4,-4,1,1,0,0,1,0,:,4,-4,0,1,0,1,0,0,:,0,0,1,,Season 58799
16,1,VFL Rome,2,0,0,2,1,:,3,-2,0,1,0,0,1,1,:,2,-1,0,1,0,0,1,0,:,1,-1,0,,Season 58799
1,0,VFL Madrid,3,3,0,0,9,:,2,7,9,2,2,0,0,5,:,2,3,6,1,1,0,0,4,:,0,4,3,,Season 58799
1,-1,VFL Brussels,3,3,0,0,9,:,2,7,9,2,2,0,0,7,:,1,6,6,1,1,0,0,2,:,1,1,3,,Season 58799
3,-1,VFL Amsterdam,3,2,0,1,5,:,1,4,6,1,1,0,0,3,:,0,3,3,2,1,0,1,2,:,1,1,3,,Season 58799
4,-1,VFL Athens,3,2,0,1,6,:,4,2,6,1,1,0,0,2,:,0,2,3,2,1,0,1,4,:,4,0,3,,Season 58799
5,-1,VFL Ankara,3,2,0,1,3,:,1,2,6,2,2,0,0,3,:,0,3,6,1,0,0,1,0,:,1,-1,0,,Season 58799
6,1,VFL London,3,1,2,0,3,:,2,1,5,1,1,0,0,1,:,0,1,3,2,0,2,0,2,:,2,0,2,,Season 58799
7,-1,VFL Lisbon,3,1,1,1,3,:,3,0,4,2,1,1,0,3,:,1,2,4,1,0,0,1,0,:,2,-2,0,,Season 58799
8,1,VFL Copenhagen,3,1,1,1,4,:,5,-1,4,1,1,0,0,1,:,0,1,3,2,0,1,1,3,:,5,-2,1,,Season 58799
9,1,VFL Stockholm,3,1,1,1,4,:,6,-2,4,2,0,1,1,2,:,5,-3,1,1,1,0,0,2,:,1,1,3,,Season 58799
10,-1,VFL Oslo,3,0,3,0,7,:,7,0,3,2,0,2,0,4,:,4,0,2,1,0,1,0,3,:,3,0,1,,Season 58799
11,1,VFL Edinburgh,3,1,0,2,4,:,7,-3,3,1,1,0,0,2,:,0,2,3,2,0,0,2,2,:,7,-5,0,,Season 58799
12,1,VFL Paris,3,1,0,2,1,:,4,-3,3,2,1,0,1,1,:,2,-1,3,1,0,0,1,0,:,2,-2,0,,Season 58799
13,-1,VFL Vienna,3,0,2,1,2,:,6,-4,2,2,0,1,1,2,:,6,-4,1,1,0,1,0,0,:,0,0,1,,Season 58799
14,1,VFL Berlin,3,0,1,2,5,:,8,-3,1,1,0,0,1,1,:,2,-1,0,2,0,1,1,4,:,6,-2,1,,Season 58799
15,1,VFL Bern,3,0,1,2,3,:,6,-3,1,1,0,1,0,3,:,3,0,1,2,0,0,2,0,:,3,-3,0,,Season 58799
16,0,VFL Rome,3,0,0,3,1,:,5,-4,0,1,0,0,1,1,:,2,-1,0,2,0,0,2,0,:,3,-3,0,,Season 58799
1,0,VFL Madrid,4,4,0,0,12,:,2,10,12,2,2,0,0,5,:,2,3,6,2,2,0,0,7,:,0,7,6,,Season 58799
2,1,VFL Brussels,4,4,0,0,12,:,4,8,12,2,2,0,0,7,:,1,6,6,2,2,0,0,5,:,3,2,6,,Season 58799
3,0,VFL Amsterdam,4,3,0,1,8,:,3,5,9,2,2,0,0,6,:,2,4,6,2,1,0,1,2,:,1,1,3,,Season 58799
4,0,VFL Athens,4,3,0,1,9,:,5,4,9,2,2,0,0,5,:,1,4,6,2,1,0,1,4,:,4,0,3,,Season 58799
5,-1,VFL Copenhagen,4,2,1,1,5,:,5,0,7,2,2,0,0,2,:,0,2,6,2,0,1,1,3,:,5,-2,1,,Season 58799
6,1,VFL Ankara,4,2,0,2,4,:,4,0,6,2,2,0,0,3,:,0,3,6,2,0,0,2,1,:,4,-3,0,,Season 58799
7,-1,VFL Edinburgh,4,2,0,2,5,:,7,-2,6,2,2,0,0,3,:,0,3,6,2,0,0,2,2,:,7,-5,0,,Season 58799
8,1,VFL London,4,1,2,1,5,:,5,0,5,2,1,0,1,3,:,3,0,3,2,0,2,0,2,:,2,0,2,,Season 58799
9,1,VFL Lisbon,4,1,2,1,3,:,3,0,5,2,1,1,0,3,:,1,2,4,2,0,1,1,0,:,2,-2,1,,Season 58799
10,0,VFL Oslo,4,0,4,0,9,:,9,0,4,2,0,2,0,4,:,4,0,2,2,0,2,0,5,:,5,0,2,,Season 58799
11,1,VFL Stockholm,4,1,1,2,6,:,9,-3,4,2,0,1,1,2,:,5,-3,1,2,1,0,1,4,:,4,0,3,,Season 58799
12,0,VFL Paris,4,1,0,3,1,:,5,-4,3,2,1,0,1,1,:,2,-1,3,2,0,0,2,0,:,3,-3,0,,Season 58799
13,-1,VFL Bern,4,0,2,2,3,:,6,-3,2,2,0,2,0,3,:,3,0,2,2,0,0,2,0,:,3,-3,0,,Season 58799
14,1,VFL Vienna,4,0,2,2,2,:,7,-5,2,2,0,1,1,2,:,6,-4,1,2,0,1,1,0,:,1,-1,1,,Season 58799
15,-1,VFL Rome,4,0,1,3,3,:,7,-4,1,2,0,1,1,3,:,4,-1,1,2,0,0,2,0,:,3,-3,0,,Season 58799
16,1,VFL Berlin,4,0,1,3,5,:,11,-6,1,2,0,0,2,1,:,5,-4,0,2,0,1,1,4,:,6,-2,1,,Season 58799
1,0,VFL Madrid,5,5,0,0,15,:,2,13,15,3,3,0,0,8,:,2,6,9,2,2,0,0,7,:,0,7,6,,Season 58799
2,0,VFL Brussels,5,4,1,0,13,:,5,8,13,3,2,1,0,8,:,2,6,7,2,2,0,0,5,:,3,2,6,,Season 58799
3,0,VFL Amsterdam,5,4,0,1,11,:,4,7,12,2,2,0,0,6,:,2,4,6,3,2,0,1,5,:,2,3,6,,Season 58799
4,0,VFL Athens,5,3,1,1,9,:,5,4,10,2,2,0,0,5,:,1,4,6,3,1,1,1,4,:,4,0,4,,Season 58799
5,-1,VFL London,5,2,2,1,7,:,5,2,8,2,1,0,1,3,:,3,0,3,3,1,2,0,4,:,2,2,5,,Season 58799
6,1,VFL Copenhagen,5,2,2,1,5,:,5,0,8,2,2,0,0,2,:,0,2,6,3,0,2,1,3,:,5,-2,2,,Season 58799
7,0,VFL Edinburgh,5,2,1,2,5,:,7,-2,7,3,2,1,0,3,:,0,3,7,2,0,0,2,2,:,7,-5,0,,Season 58799
8,-1,VFL Paris,5,2,0,3,5,:,5,0,6,2,1,0,1,1,:,2,-1,3,3,1,0,2,4,:,3,1,3,,Season 58799
9,1,VFL Ankara,5,2,0,3,5,:,7,-2,6,3,2,0,1,4,:,3,1,6,2,0,0,2,1,:,4,-3,0,,Season 58799
10,0,VFL Oslo,5,0,5,0,9,:,9,0,5,3,0,3,0,4,:,4,0,3,2,0,2,0,5,:,5,0,2,,Season 58799
11,1,VFL Lisbon,5,1,2,2,3,:,5,-2,5,3,1,1,1,3,:,3,0,4,2,0,1,1,0,:,2,-2,1,,Season 58799
12,1,VFL Stockholm,5,1,1,3,6,:,13,-7,4,3,0,1,2,2,:,9,-7,1,2,1,0,1,4,:,4,0,3,,Season 58799
13,-1,VFL Vienna,5,0,3,2,4,:,9,-5,3,3,0,2,1,4,:,8,-4,2,2,0,1,1,0,:,1,-1,1,,Season 58799
14,-1,VFL Rome,5,0,2,3,4,:,8,-4,2,2,0,1,1,3,:,4,-1,1,3,0,1,2,1,:,4,-3,1,,Season 58799
15,-1,VFL Berlin,5,0,2,3,7,:,13,-6,2,2,0,0,2,1,:,5,-4,0,3,0,2,1,6,:,8,-2,2,,Season 58799
16,1,VFL Bern,5,0,2,3,3,:,9,-6,2,2,0,2,0,3,:,3,0,2,3,0,0,3,0,:,6,-6,0,,Season 58799
1,0,VFL Madrid,6,6,0,0,18,:,3,15,18,3,3,0,0,8,:,2,6,9,3,3,0,0,10,:,1,9,9,,Season 58799
2,0,VFL Brussels,6,5,1,0,16,:,5,11,16,3,2,1,0,8,:,2,6,7,3,3,0,0,8,:,3,5,9,,Season 58799
3,0,VFL Amsterdam,6,5,0,1,16,:,5,11,15,3,3,0,0,11,:,3,8,9,3,2,0,1,5,:,2,3,6,,Season 58799
4,-1,VFL Copenhagen,6,3,2,1,6,:,5,1,11,3,3,0,0,3,:,0,3,9,3,0,2,1,3,:,5,-2,2,,Season 58799
5,1,VFL Athens,6,3,1,2,9,:,8,1,10,3,2,0,1,5,:,4,1,6,3,1,1,1,4,:,4,0,4,,Season 58799
6,-1,VFL Ankara,6,3,0,3,6,:,7,-1,9,3,2,0,1,4,:,3,1,6,3,1,0,2,2,:,4,-2,3,,Season 58799
7,1,VFL London,6,2,2,2,8,:,8,0,8,3,1,0,2,4,:,6,-2,3,3,1,2,0,4,:,2,2,5,,Season 58799
8,1,VFL Edinburgh,6,2,1,3,5,:,9,-4,7,3,2,1,0,3,:,0,3,7,3,0,0,3,2,:,9,-7,0,,Season 58799
9,1,VFL Paris,6,2,0,4,5,:,6,-1,6,3,1,0,2,1,:,3,-2,3,3,1,0,2,4,:,3,1,3,,Season 58799
10,-1,VFL Lisbon,6,1,3,2,3,:,5,-2,6,3,1,1,1,3,:,3,0,4,3,0,2,1,0,:,2,-2,2,,Season 58799
11,-1,VFL Vienna,6,1,3,2,6,:,9,-3,6,3,0,2,1,4,:,8,-4,2,3,1,1,1,2,:,1,1,4,,Season 58799
12,1,VFL Oslo,6,0,5,1,10,:,14,-4,5,3,0,3,0,4,:,4,0,3,3,0,2,1,6,:,10,-4,2,,Season 58799
13,-1,VFL Berlin,6,1,2,3,9,:,13,-4,5,3,1,0,2,3,:,5,-2,3,3,0,2,1,6,:,8,-2,2,,Season 58799
14,1,VFL Stockholm,6,1,1,4,6,:,14,-8,4,3,0,1,2,2,:,9,-7,1,3,1,0,2,4,:,5,-1,3,,Season 58799
15,1,VFL Rome,6,0,3,3,4,:,8,-4,3,3,0,2,1,3,:,4,-1,2,3,0,1,2,1,:,4,-3,1,,Season 58799
16,0,VFL Bern,6,0,2,4,3,:,11,-8,2,3,0,2,1,3,:,5,-2,2,3,0,0,3,0,:,6,-6,0,,Season 58799
1,0,VFL Madrid,7,7,0,0,19,:,3,16,21,4,4,0,0,9,:,2,7,12,3,3,0,0,10,:,1,9,9,,Season 58799
2,-1,VFL Amsterdam,7,6,0,1,17,:,5,12,18,3,3,0,0,11,:,3,8,9,4,3,0,1,6,:,2,4,9,,Season 58799
3,1,VFL Brussels,7,5,1,1,16,:,6,10,16,4,2,1,1,8,:,3,5,7,3,3,0,0,8,:,3,5,9,,Season 58799
4,-1,VFL Athens,7,4,1,2,11,:,8,3,13,3,2,0,1,5,:,4,1,6,4,2,1,1,6,:,4,2,7,,Season 58799
5,1,VFL Copenhagen,7,3,2,2,6,:,6,0,11,3,3,0,0,3,:,0,3,9,4,0,2,2,3,:,6,-3,2,,Season 58799
6,0,VFL Ankara,7,3,1,3,8,:,9,-1,10,4,2,1,1,6,:,5,1,7,3,1,0,2,2,:,4,-2,3,,Season 58799
